	Unkown_motifs_m1	Unkown_motifs_m10	Unkown_motifs_m11	Unkown_motifs_m12	Unkown_motifs_m13	Unkown_motifs_m14	Unkown_motifs_m15	Unkown_motifs_m16	Unkown_motifs_m17	Unkown_motifs_m18	Unkown_motifs_m19	Unkown_motifs_m2	Unkown_motifs_m20	Unkown_motifs_m21	Unkown_motifs_m22	Unkown_motifs_m23	Unkown_motifs_m24	Unkown_motifs_m25	Unkown_motifs_m26	Unkown_motifs_m27	Unkown_motifs_m28	Unkown_motifs_m29	Unkown_motifs_m3	Unkown_motifs_m30	Unkown_motifs_m31	Unkown_motifs_m32	Unkown_motifs_m33	Unkown_motifs_m4	Unkown_motifs_m5	Unkown_motifs_m6	Unkown_motifs_m7	Unkown_motifs_m8	Unkown_motifs_m9
Unkown_motifs_m1	0	0.778476	0.14618	0.022922	0.468236	0.00929899999999995	0.021172	0.198099	0.85548	0.796821	0.254962	0.773043	0.792612	0.855812	0.833043	0.804189	0.793712	0.807509	0.797451	0.80257	0.8227	0.869754	0.779263	0.792183	0.86864	0.851705	0.807742	0.531861	0.252481	0.810281	0.781745	0.798895	0.789786
Unkown_motifs_m10	0.778476	0	0.750773	0.742554	0.738771	0.741369	0.758901	0.853786	0.31016	0.26416	0.738026	0.273664	0.259743	0.873771	0.890237	0.832295	0.878748	0.886138	0.859502	0.858709	0.865421	0.839427	0.279698	0.842064	0.848097	0.880319	0.894913	0.739123	0.761137	0.096915	0.234919	0.480922	0.235517
Unkown_motifs_m11	0.14618	0.750773	0	0.134153	0.469771	0.157185	0.161469	0.220534	0.797403	0.771439	0.261421	0.750031	0.741298	0.844803	0.833221	0.809853	0.781498	0.797368	0.770846	0.757767	0.772067	0.839121	0.758276	0.750901	0.810167	0.840234	0.772975	0.540739	0.263991	0.780475	0.767521	0.692413	0.774853
Unkown_motifs_m12	0.022922	0.742554	0.134153	0	0.462125	0.017298	0.010304	0.253307	0.803304	0.757248	0.269632	0.738926	0.769173	0.860091	0.833144	0.82287	0.831823	0.816787	0.823304	0.829131	0.851211	0.875196	0.747369	0.799394	0.873996	0.85803	0.841118	0.518081	0.257642	0.773954	0.734011	0.722697	0.740097
Unkown_motifs_m13	0.468236	0.738771	0.469771	0.462125	0	0.458288	0.476041	0.524383	0.769736	0.796008	0.360509	0.786145	0.746908	0.813784	0.820432	0.736853	0.783525	0.771493	0.788743	0.781523	0.793163	0.795901	0.794303	0.87821	0.831709	0.821858	0.789832	0.235644	0.374755	0.758636	0.782077	0.84216	0.786817
Unkown_motifs_m14	0.00929899999999995	0.741369	0.157185	0.017298	0.458288	0	0.015302	0.229669	0.799005	0.751727	0.232253	0.730925	0.75513	0.871238	0.843779	0.804908	0.820537	0.832354	0.816112	0.82063	0.84377	0.871263	0.738581	0.793707	0.869092	0.870809	0.831138	0.516631	0.228112	0.77221	0.738974	0.772979	0.746106
Unkown_motifs_m15	0.021172	0.758901	0.161469	0.010304	0.476041	0.015302	0	0.216008	0.827399	0.765035	0.256155	0.746483	0.777662	0.875957	0.847625	0.811587	0.831021	0.838412	0.820623	0.819195	0.834525	0.862649	0.74984	0.815957	0.881979	0.8734	0.841058	0.52106	0.239885	0.791045	0.735205	0.747417	0.740845
Unkown_motifs_m16	0.198099	0.853786	0.220534	0.253307	0.524383	0.229669	0.216008	0	0.854676	0.838074	0.235217	0.801651	0.835945	0.834512	0.83055	0.744395	0.770621	0.785393	0.759298	0.764542	0.77423	0.842506	0.79328	0.828395	0.854641	0.828929	0.76632	0.570088	0.229459	0.86818	0.869713	0.771372	0.870783
Unkown_motifs_m17	0.85548	0.31016	0.797403	0.803304	0.769736	0.799005	0.827399	0.854676	0	0.333578	0.777063	0.351392	0.328664	0.895301	0.903321	0.85913	0.919386	0.923589	0.888304	0.880715	0.893092	0.873892	0.363334	0.856349	0.886889	0.900653	0.923955	0.811424	0.810309	0.330115	0.318553	0.469816	0.318417
Unkown_motifs_m18	0.796821	0.26416	0.771439	0.757248	0.796008	0.751727	0.765035	0.838074	0.333578	0	0.760594	0.033712	0.354319	0.902547	0.910226	0.859993	0.912777	0.917067	0.8879	0.886306	0.891934	0.857991	0.040945	0.835235	0.872426	0.908174	0.937289	0.803465	0.77274	0.247156	0.072566	0.471959	0.083202
