;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
Unkown_motifs_m1	Unkown_motifs_m1	Unkown_motifs_m1	Unkown_motifs_m1	1.000000	1.000000	1.000000	1.000000	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m1	Unkown_motifs_m2	Unkown_motifs_m1	Unkown_motifs_m2	0.356646	0.226957	0.249652	0.312065	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m1	Unkown_motifs_m3	Unkown_motifs_m1	Unkown_motifs_m3	0.346873	0.220737	0.242811	0.303514	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m1	Unkown_motifs_m4	Unkown_motifs_m1	Unkown_motifs_m4	0.795837	0.468139	0.795837	0.468139	10	17	10	17	0.588235	1.000000	0.588235	D	-3	51
Unkown_motifs_m1	Unkown_motifs_m5	Unkown_motifs_m1	Unkown_motifs_m5	0.897022	0.747519	0.897022	0.747519	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m1	Unkown_motifs_m6	Unkown_motifs_m1	Unkown_motifs_m6	0.284579	0.189719	0.227663	0.227663	10	10	8	12	0.666667	0.800000	0.800000	R	2	37
Unkown_motifs_m1	Unkown_motifs_m7	Unkown_motifs_m1	Unkown_motifs_m7	0.342973	0.218255	0.240081	0.300101	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m1	Unkown_motifs_m8	Unkown_motifs_m1	Unkown_motifs_m8	0.287293	0.201105	0.201105	0.287293	10	7	7	10	0.700000	0.700000	1.000000	D	3	31
Unkown_motifs_m1	Unkown_motifs_m9	Unkown_motifs_m1	Unkown_motifs_m9	0.330336	0.210214	0.231235	0.289044	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m1	Unkown_motifs_m10	Unkown_motifs_m1	Unkown_motifs_m10	0.332286	0.221524	0.265828	0.265828	10	10	8	12	0.666667	0.800000	0.800000	D	2	37
Unkown_motifs_m1	Unkown_motifs_m11	Unkown_motifs_m1	Unkown_motifs_m11	0.939202	0.853820	0.939202	0.853820	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m1	Unkown_motifs_m12	Unkown_motifs_m1	Unkown_motifs_m12	0.977078	0.977078	0.977078	0.977078	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m1	Unkown_motifs_m13	Unkown_motifs_m1	Unkown_motifs_m13	0.797646	0.531764	0.797646	0.531764	10	15	10	15	0.666667	1.000000	0.666667	D	-2	47
Unkown_motifs_m1	Unkown_motifs_m14	Unkown_motifs_m1	Unkown_motifs_m14	0.990701	0.990701	0.990701	0.990701	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m1	Unkown_motifs_m15	Unkown_motifs_m1	Unkown_motifs_m15	0.978828	0.978828	0.978828	0.978828	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m1	Unkown_motifs_m16	Unkown_motifs_m1	Unkown_motifs_m16	0.882091	0.801901	0.882091	0.801901	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m1	Unkown_motifs_m17	Unkown_motifs_m1	Unkown_motifs_m17	0.160578	0.144520	0.144520	0.160578	10	9	9	10	0.900000	0.900000	1.000000	R	1	35
Unkown_motifs_m1	Unkown_motifs_m18	Unkown_motifs_m1	Unkown_motifs_m18	0.319281	0.203179	0.223497	0.279371	10	8	7	11	0.636364	0.700000	0.875000	R	3	33
Unkown_motifs_m1	Unkown_motifs_m19	Unkown_motifs_m1	Unkown_motifs_m19	0.894046	0.745038	0.894046	0.745038	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m1	Unkown_motifs_m20	Unkown_motifs_m1	Unkown_motifs_m20	0.337005	0.207388	0.269604	0.245095	10	11	8	13	0.615385	0.800000	0.727273	R	2	39
Unkown_motifs_m1	Unkown_motifs_m21	Unkown_motifs_m1	Unkown_motifs_m21	0.302795	0.144188	0.302795	0.144188	10	21	10	21	0.476190	1.000000	0.476190	D	-8	59
Unkown_motifs_m1	Unkown_motifs_m22	Unkown_motifs_m1	Unkown_motifs_m22	0.350609	0.166957	0.350609	0.166957	10	21	10	21	0.476190	1.000000	0.476190	D	-8	59
Unkown_motifs_m1	Unkown_motifs_m23	Unkown_motifs_m1	Unkown_motifs_m23	0.587434	0.195811	0.352460	0.251757	10	14	6	18	0.333333	0.600000	0.428571	D	-8	45
Unkown_motifs_m1	Unkown_motifs_m24	Unkown_motifs_m1	Unkown_motifs_m24	0.309432	0.206288	0.309432	0.206288	10	15	10	15	0.666667	1.000000	0.666667	D	-5	47
Unkown_motifs_m1	Unkown_motifs_m25	Unkown_motifs_m1	Unkown_motifs_m25	0.307985	0.192491	0.307985	0.192491	10	16	10	16	0.625000	1.000000	0.625000	D	-5	49
Unkown_motifs_m1	Unkown_motifs_m26	Unkown_motifs_m1	Unkown_motifs_m26	0.430416	0.202549	0.344333	0.229555	10	15	8	17	0.470588	0.800000	0.533333	D	-7	47
Unkown_motifs_m1	Unkown_motifs_m27	Unkown_motifs_m1	Unkown_motifs_m27	0.419539	0.197430	0.335631	0.223754	10	15	8	17	0.470588	0.800000	0.533333	D	-7	47
Unkown_motifs_m1	Unkown_motifs_m28	Unkown_motifs_m1	Unkown_motifs_m28	0.334899	0.177300	0.301409	0.188381	10	16	9	17	0.529412	0.900000	0.562500	D	-7	49
Unkown_motifs_m1	Unkown_motifs_m29	Unkown_motifs_m1	Unkown_motifs_m29	0.260492	0.130246	0.260492	0.130246	10	20	10	20	0.500000	1.000000	0.500000	D	0	57
Unkown_motifs_m1	Unkown_motifs_m30	Unkown_motifs_m1	Unkown_motifs_m30	0.346362	0.207817	0.311725	0.222661	10	14	9	15	0.600000	0.900000	0.642857	D	1	45
